Symbol,Name,LastSale,IPOyear,Country,Sector,industry,Exchange
CSGS,"CSG Systems International, Inc.",45.93,1996,USA,Technology,EDP Services,Nasdaq
CSII,"Cardiovascular Systems, Inc.",25.71,1981,USA,Health Care,Medical/Dental Instruments,Nasdaq
CSIQ,Canadian Solar Inc.,15.94,2006,China,Technology,Semiconductors,Nasdaq
CSJ,iShares 1-3 Year Credit Bond ETF,104.37,N/A,USA,N/A,N/A,Nasdaq
CSL,Carlisle Companies Incorporated,113.36,N/A,USA,Basic Industries,Specialty Chemicals,NYSE
CSLT,"Castlight Health, inc.",3.9,2014,n/a,Technology,EDP Services,NYSE
CSML,IQ Chaikin U.S. Small Cap ETF,29.18,N/A,USA,N/A,N/A,Nasdaq
CSOD,"Cornerstone OnDemand, Inc.",41.34,2011,USA,Technology,Computer Software,Nasdaq
CSPI,CSP Inc.,18.53,1982,USA,Technology,EDP Services,Nasdaq
CSQ,Calamos Strategic Total Return Fund,12.82,2004,USA,N/A,N/A,Nasdaq
CSRA,CSRA Inc.,32.82,2015,USA,Technology,EDP Services,NYSE
CSS,"CSS Industries, Inc.",27.21,N/A,USA,Consumer Services,Consumer: Greeting Cards,NYSE
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",9.82,2017,USA,Consumer Services,Movies/Entertainment,Nasdaq
CSTE,Caesarstone Ltd.,21.25,2012,Israel,Capital Goods,Building Materials,Nasdaq
CSTM,Constellium N.V.,13.15,2013,Netherlands,Basic Industries,Metal Fabrications,NYSE
CSTR,"CapStar Financial Holdings, Inc.",19.49,2016,USA,Finance,Major Banks,Nasdaq
CSU,Capital Senior Living Corporation,11.9,1997,USA,Health Care,Hospital/Nursing Management,NYSE
CSV,"Carriage Services, Inc.",26.98,N/A,USA,Consumer Services,Other Consumer Services,NYSE
CSWC,Capital Southwest Corporation,16.59,N/A,USA,Consumer Non-Durables,Textiles,Nasdaq
CSWCL,Capital Southwest Corporation,25.67,N/A,USA,Consumer Non-Durables,Textiles,Nasdaq
CSWI,"CSW Industrials, Inc.",48.8,N/A,USA,Basic Industries,Home Furnishings,Nasdaq
CSX,CSX Corporation,56.14,N/A,USA,Transportation,Railroads,Nasdaq
CTAA,Qwest Corporation,24.7,2016,USA,Public Utilities,Telecommunications Equipment,NYSE
CTAS,Cintas Corporation,166.58,1983,USA,Consumer Non-Durables,Apparel,Nasdaq
CTB,Cooper Tire & Rubber Company,38.7,N/A,USA,Consumer Durables,Automotive Aftermarket,NYSE
CTBB,Qwest Corporation,21.25,2016,USA,Public Utilities,Telecommunications Equipment,NYSE
CTBI,"Community Trust Bancorp, Inc.",48.05,N/A,USA,Finance,Major Banks,Nasdaq
CTDD,Qwest Corporation,21.91,2017,USA,Public Utilities,Telecommunications Equipment,NYSE
CTEK,"CynergisTek, Inc.",4.7805,2017,USA,Miscellaneous,Business Services,AMEX
CTG,"Computer Task Group, Incorporated",5.18,N/A,USA,Technology,EDP Services,Nasdaq
CTHR,Charles & Colvard Ltd.,1.37,1997,USA,Consumer Durables,Consumer Specialties,Nasdaq
CTIB,CTI Industries Corporation,4.9,1997,USA,Basic Industries,Specialty Chemicals,Nasdaq
CTIC,CTI BioPharma Corp.,3.36,1997,USA,Health Care,Major Pharmaceuticals,Nasdaq
CTL,"CenturyLink, Inc.",17.78,N/A,USA,Public Utilities,Telecommunications Equipment,NYSE
CTLT,"Catalent, Inc.",47.14,2014,USA,Health Care,Major Pharmaceuticals,NYSE
CTMX,"CytomX Therapeutics, Inc.",25.79,2015,USA,Health Care,Major Pharmaceuticals,Nasdaq
CTO,Consolidated-Tomoka Land Co.,65.89,N/A,USA,Finance,Real Estate,AMEX
CTR,ClearBridge Energy MLP Total Return Fund Inc.,13.03,2012,USA,N/A,N/A,NYSE
CTRE,"CareTrust REIT, Inc.",15.78,N/A,USA,Consumer Services,Real Estate Investment Trusts,Nasdaq
CTRL,Control4 Corporation,31.26,2013,USA,Capital Goods,Electrical Products,Nasdaq
CTRN,"Citi Trends, Inc.",24.2,2005,USA,Consumer Services,Clothing/Shoe/Accessory Stores,Nasdaq
CTRP,"Ctrip.com International, Ltd.",45.59,2003,China,Miscellaneous,Business Services,Nasdaq
CTRV,ContraVir Pharmaceuticals Inc,0.318,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CTS,CTS Corporation,27.55,N/A,USA,Technology,Electrical Products,NYSE
CTSH,Cognizant Technology Solutions Corporation,77.95,1998,USA,Technology,EDP Services,Nasdaq
CTSO,Cytosorbents Corporation,7.65,N/A,USA,Health Care,Medical/Dental Instruments,Nasdaq
CTT           ,"CatchMark Timber Trust, Inc.",13.11,2013,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CTU,Qwest Corporation,22.81,N/A,USA,Public Utilities,Telecommunications Equipment,NYSE
CTV,Qwest Corporation,22.35,2014,USA,Public Utilities,Telecommunications Equipment,NYSE
CTW,Qwest Corporation,24.98,N/A,USA,Public Utilities,Telecommunications Equipment,NYSE
CTWS,"Connecticut Water Service, Inc.",52.65,N/A,USA,Public Utilities,Water Supply,Nasdaq
CTX,Qwest Corporation,22.81,N/A,USA,Public Utilities,Telecommunications Equipment,NYSE
CTXR,"Citius Pharmaceuticals, Inc.",4.46,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CTXRW,"Citius Pharmaceuticals, Inc.",1.38,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CTXS,"Citrix Systems, Inc.",94,1995,USA,Technology,Computer Software,Nasdaq
CTY,Qwest Corporation,20.55,2013,USA,Public Utilities,Telecommunications Equipment,NYSE
CTZ,Qwest Corporation,21.61,N/A,USA,Public Utilities,Telecommunications Equipment,NYSE
CUB,Cubic Corporation,59.75,N/A,USA,Capital Goods,Industrial Machinery/Components,NYSE
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",7.4462,N/A,USA,N/A,N/A,Nasdaq
CUBE,CubeSmart,27.5,N/A,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CUBI,"Customers Bancorp, Inc",31.29,N/A,USA,Finance,Major Banks,NYSE
CUBI^C,"Customers Bancorp, Inc",26.64,N/A,USA,N/A,N/A,NYSE
CUBI^D,"Customers Bancorp, Inc",26.29,N/A,USA,N/A,N/A,NYSE
CUBI^E,"Customers Bancorp, Inc",26.2,N/A,USA,N/A,N/A,NYSE
CUBI^F,"Customers Bancorp, Inc",25.83,N/A,USA,N/A,N/A,NYSE
CUBS,"Customers Bancorp, Inc",25.6,N/A,USA,Finance,Major Banks,NYSE
CUDA,"Barracuda Networks, Inc.",27.54,2013,n/a,Technology,Computer peripheral equipment,NYSE
CUE,"Cue Biopharma, Inc.",15.83,2018,USA,Health Care,Major Pharmaceuticals,Nasdaq
CUI,"CUI Global, Inc.",2.71,N/A,USA,Consumer Non-Durables,Electronic Components,Nasdaq
CUK,Carnival Corporation,70.65,N/A,USA,Consumer Services,Marine Transportation,NYSE
CULP,"Culp, Inc.",32.35,N/A,USA,Basic Industries,Textiles,NYSE
CUO,Continental Materials Corporation,19.589,N/A,USA,Capital Goods,Building Materials,AMEX
CUR,"Neuralstem, Inc.",1.96,N/A,USA,Health Care,Biotechnology,Nasdaq
CURO,CURO Group Holdings Corp.,16.28,2017,n/a,Finance,Finance: Consumer Services,NYSE
CUTR,"Cutera, Inc.",50.55,2004,USA,Health Care,Biotechnology,Nasdaq
CUZ,Cousins Properties Incorporated,9.13,N/A,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CVA,Covanta Holding Corporation,16.45,N/A,USA,Basic Industries,Electric Utilities: Central,NYSE
CVBF,CVB Financial Corporation,23.63,N/A,USA,Finance,Major Banks,Nasdaq
CVCO,"Cavco Industries, Inc.",160.2,N/A,USA,Basic Industries,Homebuilding,Nasdaq
CVCY,Central Valley Community Bancorp,20.2,N/A,USA,Finance,Major Banks,Nasdaq
CVE,Cenovus Energy Inc,10.43,N/A,Canada,Energy,Oil & Gas Production,NYSE
CVEO,Civeo Corporation,3.65,2014,n/a,Consumer Services,Hotels/Resorts,NYSE
CVG,Convergys Corporation,23.06,1998,USA,Technology,EDP Services,NYSE
CVGI,"Commercial Vehicle Group, Inc.",12.53,2004,USA,Capital Goods,Auto Parts:O.E.M.,Nasdaq
CVGW,"Calavo Growers, Inc.",87.1,N/A,USA,Consumer Non-Durables,Farming/Seeds/Milling,Nasdaq
CVI,CVR Energy Inc.,36.61,2007,USA,Energy,Integrated oil Companies,NYSE
CVLT,"Commvault Systems, Inc.",54.85,2006,USA,Technology,Computer Software,Nasdaq
CVLY,"Codorus Valley Bancorp, Inc",29.06,N/A,USA,Finance,Savings Institutions,Nasdaq
CVM,Cel-Sci Corporation,2.11,N/A,USA,Health Care,Biotechnology,AMEX
CVM.WS,Cel-Sci Corporation,N/A,N/A,USA,N/A,N/A,AMEX
CVNA,Carvana Co.,20.34,2017,USA,Consumer Durables,Automotive Aftermarket,NYSE
CVO,Cenveo Inc,1.22,N/A,USA,Consumer Durables,Containers/Packaging,Nasdaq
CVR,Chicago Rivet & Machine Co.,31.24,N/A,USA,Technology,Industrial Machinery/Components,AMEX
CVRR,"CVR Refining, LP",16.7,2013,USA,Energy,Integrated oil Companies,NYSE
CVRS,"Corindus Vascular Robotics, Inc.",1.31,2015,USA,Health Care,Medical/Dental Instruments,AMEX
CVS,CVS Health Corporation,81.58,N/A,USA,Health Care,Medical/Nursing Services,NYSE
CVTI,"Covenant Transportation Group, Inc.",28.26,1994,USA,Transportation,Trucking Freight/Courier Services,Nasdaq
CVU,"CPI Aerostructures, Inc.",9.171,N/A,USA,Capital Goods,Military/Government/Technical,AMEX
CVV,CVD Equipment Corporation,10.49,N/A,USA,Technology,Industrial Machinery/Components,Nasdaq
CVX,Chevron Corporation,130.65,N/A,USA,Energy,Integrated oil Companies,NYSE
CW,Curtiss-Wright Corporation,132.43,N/A,USA,Technology,Industrial Machinery/Components,NYSE
CWAY,"Coastway Bancorp, Inc.",22,2014,USA,Finance,Savings Institutions,Nasdaq
CWBC,Community West Bancshares,11.3,N/A,USA,Finance,Major Banks,Nasdaq
CWBR,"CohBar, Inc.",6.45,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CWCO,Consolidated Water Co. Ltd.,13.2,N/A,Cayman Islands,Public Utilities,Water Supply,Nasdaq
CWH,"Camping World Holdings, Inc.",45.8,2016,USA,Consumer Durables,Automotive Aftermarket,NYSE
CWST,"Casella Waste Systems, Inc.",26.15,1997,USA,Public Utilities,Environmental Services,Nasdaq
CWT,California Water  Service Group Holding,43.35,N/A,USA,Public Utilities,Water Supply,NYSE
CX,Cemex S.A.B. de C.V.,8.26,N/A,Mexico,Capital Goods,Building Materials,NYSE
CXDC,China XD Plastics Company Limited,4.55,N/A,China,Capital Goods,Containers/Packaging,Nasdaq
CXE,Colonial High Income Municipal Trust,5.18,1989,USA,N/A,N/A,NYSE
CXH,Colonial Investment Grade Municipal Trust,9.719,1989,USA,N/A,N/A,NYSE
CXO,Concho Resources Inc.,159.79,2007,USA,Energy,Oil & Gas Production,NYSE
CXP,"Columbia Property Trust, Inc.",21.95,2013,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CXRX,Concordia International Corp.,0.7629,N/A,Canada,Health Care,Major Pharmaceuticals,Nasdaq
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,94.7,N/A,USA,N/A,N/A,Nasdaq
CXW,"CoreCivic, Inc.",22.78,N/A,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CY,Cypress Semiconductor Corporation,16.97,1986,USA,Technology,Semiconductors,Nasdaq
CYAD,Celyad SA,47.37,2015,Belgium,Health Care,Major Pharmaceuticals,Nasdaq
CYAN,Cyanotech Corporation,4,N/A,USA,Consumer Durables,Specialty Chemicals,Nasdaq
CYBE,CyberOptics Corporation,16,1987,USA,Capital Goods,Electronic Components,Nasdaq
CYBR,CyberArk Software Ltd.,43.62,2014,Israel,Technology,Computer Software,Nasdaq
CYCC,"Cyclacel Pharmaceuticals, Inc.",1.75,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.3,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
CYD,China Yuchai International Limited,27.58,1994,Singapore,Energy,Industrial Machinery/Components,NYSE
CYH,"Community Health Systems, Inc.",5.57,2000,USA,Health Care,Hospital/Nursing Management,NYSE
CYHHZ,"Community Health Systems, Inc.",0.0085,N/A,USA,Health Care,Hospital/Nursing Management,Nasdaq
CYOU,Changyou.com Limited,32.99,2009,China,Technology,Computer Software,Nasdaq
CYRN,CYREN Ltd.,2.3,N/A,USA,Technology,Computer Software,Nasdaq
CYRX,"CryoPort, Inc.",8.62,N/A,USA,Transportation,Oil Refining/Marketing,Nasdaq
CYRXW,"CryoPort, Inc.",5.2782,N/A,USA,Transportation,Oil Refining/Marketing,Nasdaq
CYS,"CYS Investments, Inc.",7.32,2009,USA,Consumer Services,Real Estate Investment Trusts,NYSE
CYS^A,"CYS Investments, Inc.",25.0299,N/A,USA,N/A,N/A,NYSE
CYS^B,"CYS Investments, Inc.",24.36,N/A,USA,N/A,N/A,NYSE
CYTK,"Cytokinetics, Incorporated",9.95,2004,USA,Health Care,Major Pharmaceuticals,Nasdaq
CYTR,CytRx Corporation,2.08,1986,USA,Health Care,Biotechnology,Nasdaq
CYTX,Cytori Therapeutics Inc,0.455,N/A,USA,Health Care,Medical/Dental Instruments,Nasdaq
CYTXW,Cytori Therapeutics Inc,0.035,N/A,USA,Health Care,Medical/Dental Instruments,Nasdaq
CZFC,Citizens First Corporation,24.2,N/A,USA,Finance,Major Banks,Nasdaq
CZNC,Citizens & Northern Corp,24.51,N/A,USA,Finance,Major Banks,Nasdaq
CZR,Caesars Entertainment Corporation,13.85,2012,USA,Consumer Services,Hotels/Resorts,Nasdaq
CZWI,"Citizens Community Bancorp, Inc.",13.21,N/A,USA,Finance,Savings Institutions,Nasdaq
CZZ,Cosan Limited,11.13,N/A,Brazil,Consumer Non-Durables,Specialty Foods,NYSE
D,"Dominion Energy, Inc.",76.69,N/A,USA,Public Utilities,Electric Utilities: Central,NYSE
DAC,Danaos Corporation,1.4,2006,Greece,Transportation,Marine Transportation,NYSE
DAIO,Data I/O Corporation,10.7,1981,USA,Capital Goods,Electrical Products,Nasdaq
DAKT,"Daktronics, Inc.",9.47,1994,USA,Consumer Durables,Miscellaneous manufacturing industries,Nasdaq
DAL,"Delta Air Lines, Inc.",54.81,N/A,USA,Transportation,Air Freight/Delivery Services,NYSE
DAN,Dana Incorporated,33.22,N/A,USA,Capital Goods,Auto Parts:O.E.M.,NYSE
DAR,Darling Ingredients Inc.,19.22,N/A,USA,Consumer Non-Durables,Packaged Foods,NYSE
DARE,"Dare Bioscience, Inc.",2.21,2014,USA,Health Care,Major Pharmaceuticals,Nasdaq
DATA,"Tableau Software, Inc.",74.95,2013,USA,Technology,Computer Software,NYSE
DAVE,"Famous Dave&#39;s of America, Inc.",6.1,N/A,USA,Consumer Services,Restaurants,Nasdaq
DAX,Horizons DAX Germany ETF,33.59,N/A,USA,N/A,N/A,Nasdaq
DB,Deutsche Bank AG,19.64,N/A,Germany,Finance,Major Banks,NYSE
DBD,Diebold Nixdorf Incorporated,18.05,N/A,USA,Miscellaneous,Office Equipment/Supplies/Services,NYSE
DBL,DoubleLine Opportunistic Credit Fund,21.5,2012,USA,N/A,N/A,NYSE
DBVT,DBV Technologies S.A.,25.37,2014,France,Health Care,Biotechnology,Nasdaq
DCF,Dreyfus Alcentra,9.68,2017,n/a,N/A,N/A,NYSE
DCI,"Donaldson Company, Inc.",51.57,N/A,USA,Capital Goods,Pollution Control Equipment,NYSE
DCIX,Diana Containerships Inc.,2.96,N/A,Greece,Transportation,Marine Transportation,Nasdaq
DCM,"NTT DOCOMO, Inc",25.13,N/A,Japan,Technology,Radio & TV Broadcasting And Comm. Equipment,NYSE
DCO,Ducommun Incorporated,29,N/A,USA,Capital Goods,Military/Government/Technical,NYSE
DCOM,"Dime Community Bancshares, Inc.",21.7,N/A,USA,Finance,Savings Institutions,Nasdaq
DCP,DCP Midstream LP,41.88,N/A,USA,Public Utilities,Natural Gas Distribution,NYSE
DCPH,"Deciphera Pharmaceuticals, Inc.",27.08,2017,USA,Health Care,Major Pharmaceuticals,Nasdaq
DCT,DCT Industrial Trust Inc,59.08,2006,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DCUD,"Dominion Energy, Inc.",50.66,2016,USA,Public Utilities,Electric Utilities: Central,NYSE
DD^A,E.I. du Pont de Nemours and Company,90.7501,N/A,USA,Basic Industries,Major Chemicals,NYSE
DD^B,E.I. du Pont de Nemours and Company,107.5,N/A,USA,Basic Industries,Major Chemicals,NYSE
DDBI,Legg Mason Developed EX-US Diversified Core ETF,31.4,N/A,USA,N/A,N/A,Nasdaq
DDD,3D Systems Corporation,10.67,N/A,USA,Technology,Computer Software,NYSE
DDE,Dover Downs Gaming & Entertainment Inc,1.26,N/A,USA,Consumer Services,Services-Misc. Amusement & Recreation,NYSE
DDF,"Delaware Investments Dividend & Income Fund, Inc.",11.27,1993,USA,N/A,N/A,NYSE
DDR,DDR Corp.,8.46,1993,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DDR^A,DDR Corp.,25.5,N/A,USA,N/A,N/A,NYSE
DDR^J,DDR Corp.,24.63,N/A,USA,N/A,N/A,NYSE
DDR^K,DDR Corp.,24.549,N/A,USA,N/A,N/A,NYSE
DDS,"Dillard&#39;s, Inc.",68.35,N/A,USA,Consumer Services,Department/Specialty Retail Stores,NYSE
DDT,"Dillard&#39;s, Inc.",25.48,N/A,USA,Consumer Services,Department/Specialty Retail Stores,NYSE
DE,Deere & Company,169.13,N/A,USA,Capital Goods,Industrial Machinery/Components,NYSE
DEA,"Easterly Government Properties, Inc.",20.98,2015,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DECK,Deckers Outdoor Corporation,87.9,1993,USA,Consumer Non-Durables,Shoe Manufacturing,NYSE
DEI,"Douglas Emmett, Inc.",39.32,2006,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DEL,Deltic Timber Corporation,99.61,N/A,USA,Basic Industries,Forest Products,NYSE
DELT,Delta Technology Holdings Limited,1.54,N/A,China,Basic Industries,Major Chemicals,Nasdaq
DENN,Denny&#39;s Corporation,15.28,N/A,USA,Consumer Services,Restaurants,Nasdaq
DEO,Diageo plc,144.93,N/A,United Kingdom,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
DEPO,"Depomed, Inc.",7.96,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
DERM,"Dermira, Inc.",30.29,2014,USA,Health Care,Major Pharmaceuticals,Nasdaq
DESP,"Despegar.com, Corp.",30.03,2017,n/a,Consumer Services,Transportation Services,NYSE
DEST,Destination Maternity Corporation,2.55,N/A,USA,Consumer Services,Clothing/Shoe/Accessory Stores,Nasdaq
DEX,Delaware Enhanced Global Dividend,12.65,2007,USA,N/A,N/A,NYSE
DF,Dean Foods Company,10.71,N/A,USA,Consumer Non-Durables,Packaged Foods,NYSE
DFBG,Differential Brands Group Inc.,1.21,N/A,USA,Consumer Non-Durables,Apparel,Nasdaq
DFFN,Diffusion Pharmaceuticals Inc.,0.7149,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
DFIN,"Donnelley Financial Solutions, Inc.",21.35,2016,n/a,Consumer Services,Other Consumer Services,NYSE
DFNL,Davis Select Financial ETF,25.44,N/A,USA,N/A,N/A,Nasdaq
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,24.89,2013,n/a,N/A,N/A,NYSE
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",17.55,2012,USA,Consumer Services,Restaurants,Nasdaq
DFS,Discover Financial Services,80.3,N/A,USA,Finance,Finance: Consumer Services,NYSE
DFVL,iPath US Treasury 5-year Bull ETN,63.25,N/A,United Kingdom,Finance,Commercial Banks,Nasdaq
DFVS,iPath US Treasury 5-year Bear ETN,33.59,N/A,United Kingdom,Finance,Commercial Banks,Nasdaq
DG,Dollar General Corporation,103.75,2009,USA,Consumer Services,Department/Specialty Retail Stores,NYSE
DGICA,"Donegal Group, Inc.",17.58,N/A,USA,Finance,Property-Casualty Insurers,Nasdaq
DGICB,"Donegal Group, Inc.",15.5,1986,USA,Finance,Property-Casualty Insurers,Nasdaq
DGII,Digi International Inc.,10.4,1989,USA,Technology,Computer Communications Equipment,Nasdaq
DGLD,VelocityShares 3x Inverse Gold ETN,39.5,N/A,Switzerland,Finance,Investment Bankers/Brokers/Service,Nasdaq
DGLY,"Digital Ally, Inc.",2.15,N/A,USA,Technology,Radio & TV Broadcasting And Comm. Equipment,Nasdaq
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,28.75,N/A,USA,N/A,N/A,Nasdaq
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,36.44,N/A,USA,N/A,N/A,Nasdaq
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,43.84,N/A,USA,N/A,N/A,Nasdaq
DGSE,"DGSE Companies, Inc.",1.03,N/A,USA,Consumer Services,Consumer Specialties,AMEX
DGX,Quest Diagnostics Incorporated,105.15,N/A,USA,Health Care,Medical Specialities,NYSE
DHF,Dreyfus High Yield Strategies Fund,3.35,1998,USA,N/A,N/A,NYSE
DHG,"DWS High Income Opportunities Fund, Inc.",15.06,2006,USA,N/A,N/A,NYSE
DHI,"D.R. Horton, Inc.",50.35,N/A,USA,Capital Goods,Homebuilding,NYSE
DHIL,"Diamond Hill Investment Group, Inc.",213.74,N/A,USA,Finance,Investment Managers,Nasdaq
DHR,Danaher Corporation,102.7,N/A,USA,Capital Goods,Industrial Machinery/Components,NYSE
DHT,"DHT Holdings, Inc.",3.84,2005,Jersey,Transportation,Marine Transportation,NYSE
DHX,"DHI Group, Inc.",1.85,2007,USA,Miscellaneous,Business Services,NYSE
DHXM,DHX Media Ltd.,3.7802,N/A,Canada,N/A,N/A,Nasdaq
DHY,Credit Suisse High Yield Bond Fund,2.815,1998,USA,N/A,N/A,AMEX
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,19.3,2014,n/a,N/A,N/A,NYSE
DIN,"DineEquity, Inc",54.38,N/A,USA,Consumer Services,Restaurants,NYSE
DIOD,Diodes Incorporated,28.58,N/A,USA,Technology,Semiconductors,Nasdaq
DIS,Walt Disney Company (The),110.55,N/A,USA,Consumer Services,Television Services,NYSE
DISCA,"Discovery Communications, Inc.",25.73,N/A,USA,Consumer Services,Television Services,Nasdaq
DISCB,"Discovery Communications, Inc.",31.75,N/A,USA,Consumer Services,Television Services,Nasdaq
DISCK,"Discovery Communications, Inc.",24.44,N/A,USA,Consumer Services,Television Services,Nasdaq
DISH,DISH Network Corporation,47.03,1995,USA,Consumer Services,Television Services,Nasdaq
DIT,AMCON Distributing Company,90,N/A,USA,Consumer Non-Durables,Food Distributors,AMEX
DJCO,Daily Journal Corp. (S.C.),225.41,N/A,USA,Consumer Services,Newspapers/Magazines,Nasdaq
DK,"Delek US Holdings, Inc.",36.6,2017,USA,Energy,Integrated oil Companies,NYSE
DKL,"Delek Logistics Partners, L.P.",32.25,2012,USA,Energy,Natural Gas Distribution,NYSE
DKS,Dick&#39;s Sporting Goods Inc,32.88,2002,USA,Consumer Services,Other Specialty Stores,NYSE
DKT,Deutsch Bk Contingent Cap Tr V,25.98,N/A,USA,Finance,Major Banks,NYSE
DL,China Distance Education Holdings Limited,9.5,N/A,China,Consumer Services,Other Consumer Services,NYSE
DLA,"Delta Apparel, Inc.",19.99,N/A,USA,Consumer Non-Durables,Apparel,AMEX
DLB,Dolby Laboratories,70.19,2005,USA,Miscellaneous,Multi-Sector Companies,NYSE
DLBL,iPath US Treasury Long Bond Bull ETN,78.32,N/A,United Kingdom,Finance,Commercial Banks,Nasdaq
DLBS,iPath US Treasury Long Bond Bear ETN,18.2,N/A,United Kingdom,Finance,Commercial Banks,Nasdaq
DLHC,DLH Holdings Corp.,5.91,N/A,USA,Technology,Professional Services,Nasdaq
DLNG,Dynagas LNG Partners LP,11.92,N/A,Greece,Consumer Services,Marine Transportation,NYSE
DLNG^A,Dynagas LNG Partners LP,26.224,N/A,Greece,N/A,N/A,NYSE
DLPH,Delphi Technologies PLC,55.48,2017,n/a,Capital Goods,Auto Parts:O.E.M.,NYSE
DLPN,"Dolphin Entertainment, Inc.",3.3244,N/A,USA,Consumer Services,Other Consumer Services,Nasdaq
DLPNW,"Dolphin Entertainment, Inc.",0.41,N/A,USA,Consumer Services,Other Consumer Services,Nasdaq
DLR,"Digital Realty Trust, Inc.",111.41,2004,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DLR^C,"Digital Realty Trust, Inc.",26.82,N/A,USA,N/A,N/A,NYSE
DLR^G,"Digital Realty Trust, Inc.",25.16,N/A,USA,N/A,N/A,NYSE
DLR^H,"Digital Realty Trust, Inc.",26.56,N/A,USA,N/A,N/A,NYSE
DLR^I,"Digital Realty Trust, Inc.",26.63,N/A,USA,N/A,N/A,NYSE
DLR^J,"Digital Realty Trust, Inc.",24.5054,N/A,USA,N/A,N/A,NYSE
DLTH,Duluth Holdings Inc.,18.4,2015,USA,Consumer Services,Clothing/Shoe/Accessory Stores,Nasdaq
DLTR,"Dollar Tree, Inc.",115.07,1995,USA,Consumer Services,Department/Specialty Retail Stores,Nasdaq
DLX,Deluxe Corporation,73.51,N/A,USA,Consumer Durables,Publishing,NYSE
DM,"Dominion Energy Midstream Partners, LP",30.9,2014,USA,Public Utilities,Natural Gas Distribution,NYSE
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",12.69,2013,n/a,N/A,N/A,NYSE
DMF,"Dreyfus Municipal Income, Inc.",8.7,1988,USA,N/A,N/A,AMEX
DMLP,"Dorchester Minerals, L.P.",16.3,N/A,USA,Energy,Oil & Gas Production,Nasdaq
DMO,Western Asset Mortgage Defined Opportunity Fund Inc,26.4,2010,USA,N/A,N/A,NYSE
DMPI,"DelMar Pharmaceuticals, Inc.",1.37,N/A,Canada,Health Care,Major Pharmaceuticals,Nasdaq
DMRC,Digimarc Corporation,33.85,N/A,USA,Technology,EDP Services,Nasdaq
DNB,Dun & Bradstreet Corporation (The),121.7,N/A,USA,Finance,Finance: Consumer Services,NYSE
DNBF,DNB Financial Corp,34.95,N/A,USA,Finance,Major Banks,Nasdaq
DNI,Dividend and Income Fund,14.05,N/A,USA,N/A,N/A,NYSE
DNKN,"Dunkin&#39; Brands Group, Inc.",68.38,2011,USA,Consumer Services,Restaurants,Nasdaq
DNLI,Denali Therapeutics Inc.,21.15,2017,USA,Health Care,Biotechnology,Nasdaq
DNN,Denison Mine Corp,0.5085,N/A,Canada,Basic Industries,Precious Metals,AMEX
DNOW,NOW Inc.,12.22,2014,n/a,Energy,Metal Fabrications,NYSE
DNP,"Duff & Phelps Utilities Income, Inc.",10.7,1987,USA,N/A,N/A,NYSE
DNR,Denbury Resources Inc.,2.55,N/A,USA,Energy,Oil & Gas Production,NYSE
DO,"Diamond Offshore Drilling, Inc.",19.24,1995,USA,Energy,Oil & Gas Production,NYSE
DOC,Physicians Realty Trust,16.66,2013,USA,Consumer Services,Real Estate Investment Trusts,NYSE
DOGZ,Dogness (International) Corporation,4.41,2017,China,Consumer Durables,Miscellaneous manufacturing industries,Nasdaq
DOOR,Masonite International Corporation,72.1,N/A,Canada,Basic Industries,Forest Products,NYSE
DORM,"Dorman Products, Inc.",74.64,N/A,USA,Capital Goods,Auto Parts:O.E.M.,Nasdaq
DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.848,2017,USA,Finance,Business Services,Nasdaq
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.6499,2017,USA,Finance,Business Services,Nasdaq
